Index,Position,Nation,Won,Drawn,Lost,For,Against,Diff,Tries,Table,Year
0,1,England,4,0,1,146,81,65,16,19,2017
1,2,Ireland,3,0,2,126,77,49,14,14,2017
2,3,France,3,0,2,107,90,17,8,14,2017
3,4,Scotland,3,0,2,122,118,4,14,14,2017
4,5,Wales,2,0,3,102,86,16,8,10,2017
5,6,Italy,0,0,5,50,201,Ð151,6,0,2017
6,1,ÊEngland,5,0,0,132,70,62,13,10,2016
7,2,ÊWales,3,1,1,150,88,62,17,7,2016
8,3,ÊIreland,2,1,2,128,87,41,15,5,2016
9,4,ÊScotland,2,0,3,122,115,7,11,4,2016
10,5,ÊFrance,2,0,3,82,109,_27,7,4,2016
11,6,ÊItaly,0,0,5,79,224,_145,8,0,2016
12,1,ÊIreland,4,0,1,119,56,63,8,8,2015
13,2,ÊEngland,4,0,1,157,100,57,18,8,2015
14,3,ÊWales,4,0,1,146,93,53,13,8,2015
15,4,ÊFrance,2,0,3,103,101,2,9,4,2015
16,5,ÊItaly,1,0,4,62,182,_120,8,2,2015
17,6,ÊScotland,0,0,5,73,128,_55,6,0,2015
18,1,ÊIreland,4,0,1,132,49,83,16,8,2014
19,2,ÊEngland,4,0,1,138,65,73,14,8,2014
20,3,ÊWales,3,0,2,122,79,43,11,6,2014
21,4,ÊFrance,3,0,2,101,100,1,9,6,2014
22,5,ÊScotland,1,0,4,47,138,_91,4,2,2014
23,6,ÊItaly,0,0,5,63,172,_109,7,0,2014
24,1,ÊWales,4,0,1,122,66,56,9,8,2013
25,2,ÊEngland,4,0,1,94,78,16,5,8,2013
26,3,ÊScotland,2,0,3,98,107,_9,7,4,2013
27,4,ÊItaly,2,0,3,75,111,_36,5,4,2013
28,5,ÊIreland,1,1,3,72,81,_9,5,3,2013
29,6,ÊFrance,1,1,3,73,91,_18,6,3,2013
